"Title";"Seed";"Leech";"Poidsdutorrent";"date";"Categories";"Genre";"Plot"
"The Rookie S02E07 FRENCH HDTV";"820";"352";"349.59MB";"17/01/2020";"Séries";"VF";"Lorsque sa femme le quitte et que son fils part à la fac, John Nolan, la quarantaine, est à un tournant de sa vie et décide de réaliser un vieux rêve : devenir flic ! Il part vivre à Los Angeles et se retrouve, malgré son âge, un bleu parmi les bleus..."
"Epidemie S01E01 FRENCH HDTV";"401";"31";"346.21MB";"16/01/2020";"Séries";"VF";"Anne-Marie (Julie Le Breton) dirige le Laboratoire d’urgence sanitaire qui a pour mission d’identifier les causes des urgences de santé publique et d’accompagner les autorités pour désamorcer les crises (bioterrorisme, maladie contagieuse mortelle, empoisonnement de masse, etc.). Lorsqu’un mystérieux virus apparaît dans la population montréalaise, Anne-Marie et son équipe sont aux premières loges pour combattre l’épidémie qui pourrait faucher de nombreuses vies."
"Arrow S08E08 VOSTFR HDTV";"804";"194";"370.1MB";"16/01/2020";"Séries";"VOSTFR";"Les nouvelles aventures de Green Arrow/Oliver Queen, combattant ultra efficace issu de l'univers de DC Comics et surtout archer au talent fou, qui appartient notamment à la Justice League. Disparu en mer avec son père et sa petite amie, il est retrouvé vivant 5 ans plus tard sur une île près des côtes Chinoises. Mais il a changé : il est fort, courageux et déterminé à débarrasser Starling City de ses malfrats..."
"DC's Legends of Tomorrow S05E01 VOSTFR HDTV";"515";"114";"365.84MB";"16/01/2020";"Séries";"VOSTFR";"Après avoir vu le futur, Rip Hunter, un Maître du temps du 22ème siècle, décide - contre l'avis de son Conseil - de stopper le tyran immortel qui fera basculer le monde dans le chaos. Pour accomplir sa mission, il constitue une équipe d'élite qui l'aidera à traquer le méchant à travers le temps et arrêter sa montée au pouvoir. The A.T.O.M., Captain Cold, Heat Wave, White Canary, Firestorm, Hawkgirl et Hawkman saisissent cette opportunité de prendre en mains leur destinée. Parviendront-il à sauver l'Humanité et marquer l'Histoire en devenant les légendes de demain ?"
"The Good Doctor S03E11 VOSTFR HDTV";"508";"82";"351.84MB";"16/01/2020";"Séries";"VOSTFR";"Atteint du syndrome d'Asperger ainsi que de celui du savant, le chirurgien Shaun Murphy, fraîchement diplômé, rejoint un prestigieux hôpital de San José. Livré à lui-même, il éprouve des difficultés à s'intégrer à l'équipe. Mais en mettant son incroyable don au service de ses patients, ce jeune prodige suscite vite de l'admiration chez certains de ses pairs. D'autres, en revanche, n'attendent qu'une erreur de sa part pour le mettre hors course."
"Platane Saison 3 FRENCH HDTV";"161";"100";"5.65GB";"16/01/2020";"Séries";"VF";"Un soir, la voiture d’Eric percute un platane. Après un an de coma, il découvre que Ramzy a brillamment poursuivi sa carrière de comique sans lui en développant la série \"HP\", suite de leur sitcom à succès \"H\". Eric veut alors se lancer dans le cinéma d’auteur et prouver qu’il peut faire un fim sérieux et émouvant. Contre l’avis de tous il décide d’écrire la suite de \"La Môme\", \"La Môme 2.0 New Generation\". Mais personne n’y croit vraiment. A travers les difficultés que rencontre son héros pour réaliser un chef d’oeuvre cette série se joue avec malice des dessous d’un tournage et en même temps des difficultés à se dégager du regard que les autres portent sur soi."
"Platane Saison 2 FRENCH HDTV";"155";"106";"2.57GB";"16/01/2020";"Séries";"VF";"Un soir, la voiture d’Eric percute un platane. Après un an de coma, il découvre que Ramzy a brillamment poursuivi sa carrière de comique sans lui en développant la série \"HP\", suite de leur sitcom à succès \"H\". Eric veut alors se lancer dans le cinéma d’auteur et prouver qu’il peut faire un fim sérieux et émouvant. Contre l’avis de tous il décide d’écrire la suite de \"La Môme\", \"La Môme 2.0 New Generation\". Mais personne n’y croit vraiment. A travers les difficultés que rencontre son héros pour réaliser un chef d’oeuvre cette série se joue avec malice des dessous d’un tournage et en même temps des difficultés à se dégager du regard que les autres portent sur soi."
"Platane Saison 1 FRENCH HDTV";"321";"199";"3.18GB";"16/01/2020";"Séries";"VF";"Un soir, la voiture d’Eric percute un platane. Après un an de coma, il découvre que Ramzy a brillamment poursuivi sa carrière de comique sans lui en développant la série \"HP\", suite de leur sitcom à succès \"H\". Eric veut alors se lancer dans le cinéma d’auteur et prouver qu’il peut faire un fim sérieux et émouvant. Contre l’avis de tous il décide d’écrire la suite de \"La Môme\", \"La Môme 2.0 New Generation\". Mais personne n’y croit vraiment. A travers les difficultés que rencontre son héros pour réaliser un chef d’oeuvre cette série se joue avec malice des dessous d’un tournage et en même temps des difficultés à se dégager du regard que les autres portent sur soi."
"In The Dark S01E02 FRENCH HDTV";"128";"26";"326.17MB";"15/01/2020";"Séries";"VF";"Seule témoin du meurtre de son ami(e) qui dealait de la drogue, une jeune aveugle se met à enquêter avec son chien pour retrouver le meurtrier, tout en jonglant entre sa vie amoureuse très agitée et son travail au sein d'une école de chiens guides pour aveugles, gérée par ses parents surprotecteurs."
"Mr. Inbetween S02E08 VOSTFR HDTV";"92";"11";"173.04MB";"15/01/2020";"Séries";"VOSTFR";"Bien occupé avec son business de collecte des dettes et le trafic de drogue et d'armes, Ray Shoesmith doit en plus jongler entre ses rôles d'ex-mari, de père, de petit ami et de meilleur ami."
"This Is Us S04E10 FRENCH HDTV";"362";"30";"314.13MB";"15/01/2020";"Séries";"VF";"Selon Wikipédia, en moyenne 18 millions d'êtres humains partagent le même jour d'anniversaire à travers le monde. Mais il existe une famille, dispatchée entre New York et Los Angeles, dont quatre des membres sont nés le même jour ! Voici leur histoire drôle et émouvante..."
"Endlings S01E03 VOSTFR HDTV";"45";"13";"172.46MB";"15/01/2020";"Séries";"VOSTFR";"Quatre adolescents rencontrent un extra-terrestre, échoué sur terre, alors qu'il essaie de collecter toutes les espèces animales vivantes avant qu'elles ne disparaissent. "
"The Code S01E08 FRENCH HDTV";"616";"101";"378.39MB";"15/01/2020";"Séries";"VF";"Les cerveaux les plus brillants de l’Armée américaine font face au quotidien aux défis les plus difficiles, à l'intérieur de la salle d’audience comme à l’extérieur."
"Kipo et l'âge de Animonstres Saison 1 FRENCH HDTV";"204";"49";"1.61GB";"15/01/2020";"Séries";"VF";"Sur une Terre post-apocalyptique. Kipo est une jeune fille qui a passé sa jeunesse sous la terre. Elle décide de s'aventurer sur la surface. Elle rejoint un groupe hétéroclite de survivants qui traverse le pays..."
"Krypton S02E04 FRENCH HDTV";"732";"115";"289.32MB";"15/01/2020";"Séries";"VF";"Des années avant les aventures de Superman... Sur Krypton, la maison El est en disgrâce et isolée. C'est dans ce contexte délicat que le grand-père de Kal-El tente d'instaurer paix et égalité sur une planète en désespérance, futur lieu de naissance du plus grand super-héros de l'Histoire."
"Krypton S02E03 FRENCH HDTV";"536";"82";"314.12MB";"15/01/2020";"Séries";"VF";"Des années avant les aventures de Superman... Sur Krypton, la maison El est en disgrâce et isolée. C'est dans ce contexte délicat que le grand-père de Kal-El tente d'instaurer paix et égalité sur une planète en désespérance, futur lieu de naissance du plus grand super-héros de l'Histoire."
"Manifest S02E02 VOSTFR HDTV";"314";"33";"369.37MB";"15/01/2020";"Séries";"VOSTFR";"Le vol Montego 828 à destination de New York disparaît des radars sans laisser de traces, avant de réapparaître cinq ans plus tard sans aucune explication. Pour les 191 passagers à bord, le temps ne s'est pas écoulé. Mais pour leurs proches, ces cinq années ont été éprouvantes... Que s'est-il réellement passé ? Comment les revenants vont-ils parvenir à s'adapter ? Sont-ils revenus changés ?"
"Endlings S01E02 VOSTFR HDTV";"64";"10";"172.48MB";"15/01/2020";"Séries";"VOSTFR";"Quatre adolescents rencontrent un extra-terrestre, échoué sur terre, alors qu'il essaie de collecter toutes les espèces animales vivantes avant qu'elles ne disparaissent. "
"Elite Saison 2 FRENCH HDTV";"249";"214";"3.02GB";"15/01/2020";"Séries";"VF";"Lorsque trois enfants issus de la classe ouvrière accèdent à l'école la plus élitiste d'Espagne, le fossé qui les sépare des élèves fortunés conduit à la tragédie."
"Elite Saison 1 FRENCH HDTV";"315";"266";"2.92GB";"15/01/2020";"Séries";"VF";"Lorsque trois enfants issus de la classe ouvrière accèdent à l'école la plus élitiste d'Espagne, le fossé qui les sépare des élèves fortunés conduit à la tragédie."
"Shameless (US) Saison 9 FRENCH HDTV";"191";"185";"6.16GB";"14/01/2020";"Séries";"VF";"Pour les enfants Gallagher, la vie est tout sauf un long fleuve tranquille... Fiona, l'aînée, âgée de 20 ans, élève du mieux possible sa soeur et ses quatre frères. Leur mère, Monica, les a abandonnés pour refaire sa vie avec une femme. Quant à leur père, Frank, paumé, chômeur et alcoolique, il dilapide l'argent des allocations familiales... Remake de la série anglaise du même nom : Shameless."
"Shameless (US) Saison 8 FRENCH HDTV";"101";"98";"5.27GB";"14/01/2020";"Séries";"VF";"Pour les enfants Gallagher, la vie est tout sauf un long fleuve tranquille... Fiona, l'aînée, âgée de 20 ans, élève du mieux possible sa soeur et ses quatre frères. Leur mère, Monica, les a abandonnés pour refaire sa vie avec une femme. Quant à leur père, Frank, paumé, chômeur et alcoolique, il dilapide l'argent des allocations familiales... Remake de la série anglaise du même nom : Shameless."
"Shameless (US) Saison 7 FRENCH HDTV";"57";"85";"5.32GB";"14/01/2020";"Séries";"VF";"Pour les enfants Gallagher, la vie est tout sauf un long fleuve tranquille... Fiona, l'aînée, âgée de 20 ans, élève du mieux possible sa soeur et ses quatre frères. Leur mère, Monica, les a abandonnés pour refaire sa vie avec une femme. Quant à leur père, Frank, paumé, chômeur et alcoolique, il dilapide l'argent des allocations familiales... Remake de la série anglaise du même nom : Shameless."
